[2026-05-08 15:44:14,781] INFO django.utils.autoreload Watching for file changes with StatReloader
[2026-05-08 15:44:22,589] INFO tracking_app.views logout_view: logging out user_id=3
[2026-05-08 15:44:22,687] INFO tracking_app.views logout_view: redirecting to allmaps
[2026-05-08 15:44:22,700] INFO django.server "GET /logout/ HTTP/1.1" 302 0
[2026-05-08 15:44:22,719] INFO tracking_app.views allmaps_view: request started
[2026-05-08 15:44:22,720] INFO tracking_app.views allmaps_view: loaded 0 records from session
[2026-05-08 15:44:22,720] INFO tracking_app.views allmaps_view: fetching vessel data from API url=https://shiptrackingapi-787201059405.asia-south2.run.app/VesselTracking/GetAll
[2026-05-08 15:44:24,308] INFO tracking_app.views allmaps_view: API response status_code=200
[2026-05-08 15:44:24,313] INFO tracking_app.views allmaps_view: API records loaded count=1113
[2026-05-08 15:44:24,313] INFO tracking_app.views allmaps_view: stored records in session count=1113
[2026-05-08 15:44:24,313] INFO tracking_app.views allmaps_view: creating base map
[2026-05-08 15:44:24,315] INFO tracking_app.views allmaps_view: adding tile layers
[2026-05-08 15:44:24,336] INFO tracking_app.views allmaps_view: grouping vessel records into routes
[2026-05-08 15:44:24,339] INFO tracking_app.views allmaps_view: route grouping complete route_count=10
[2026-05-08 15:44:24,339] INFO tracking_app.views allmaps_view: preparing vessel JavaScript data
[2026-05-08 15:44:24,343] INFO tracking_app.views allmaps_view: building map JavaScript
[2026-05-08 15:44:24,432] INFO tracking_app.views allmaps_view: rendering template
[2026-05-08 15:44:24,605] INFO django.server "GET / HTTP/1.1" 200 606891
[2026-05-08 15:44:25,717] INFO django.server "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[2026-05-08 15:44:25,724] INFO django.server "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
[2026-05-08 15:44:25,765] INFO django.server "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 2
[2026-05-08 15:44:32,179] INFO tracking_app.views login_view: request method=POST
[2026-05-08 15:44:32,179] INFO tracking_app.views login_view: authenticating username=Admin
[2026-05-08 15:44:33,667] INFO tracking_app.views login_view: authentication success username=Admin
[2026-05-08 15:44:34,073] INFO django.server "POST /login/ HTTP/1.1" 200 52
[2026-05-08 15:44:34,124] INFO tracking_app.views user_map_auth_view: request started user_authenticated=True
[2026-05-08 15:44:34,126] INFO tracking_app.views user_map_auth_view: cache status cached_count=0 last_fetch=0 force_refresh=False
[2026-05-08 15:44:34,126] INFO tracking_app.views user_map_auth_view: fetching fresh auth vessel data
[2026-05-08 15:44:34,127] INFO tracking_app.views user_map_auth_view: fetching associated vessels url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/UserAssociatedVessels/4
[2026-05-08 15:44:35,044] INFO tracking_app.views user_map_auth_view: associated vessels status_code=200
[2026-05-08 15:44:35,045] INFO tracking_app.views user_map_auth_view: associated vessel ids count=4
[2026-05-08 15:44:35,045] INFO tracking_app.views user_map_auth_view: fetching latest vessel records url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/latestVesselrecord?vesselIds=118,117,120,119
[2026-05-08 15:44:36,006] INFO tracking_app.views user_map_auth_view: latest records status_code=200
[2026-05-08 15:44:36,007] INFO tracking_app.views user_map_auth_view: latest records cached count=4
[2026-05-08 15:44:36,007] INFO tracking_app.views user_map_auth_view: creating base map
[2026-05-08 15:44:36,009] INFO tracking_app.views user_map_auth_view: adding tile layers
[2026-05-08 15:44:36,037] INFO tracking_app.views user_map_auth_view: grouping vessel records into routes
[2026-05-08 15:44:36,038] INFO tracking_app.views user_map_auth_view: route grouping complete route_count=4
[2026-05-08 15:44:36,038] INFO tracking_app.views user_map_auth_view: preparing vessel JavaScript data
[2026-05-08 15:44:36,038] INFO tracking_app.views user_map_auth_view: building map JavaScript
[2026-05-08 15:44:36,041] INFO tracking_app.views user_map_auth_view: rendering template
[2026-05-08 15:44:36,165] INFO django.server "GET /user_map_auth/ HTTP/1.1" 200 30989
[2026-05-08 15:44:36,258] INFO django.server "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 2
[2026-05-08 15:46:59,895] INFO django.utils.autoreload D:\Projects\ShipProject\ShipProject\projects\vitmaps\tracking_app\views.py changed, reloading.
[2026-05-08 15:47:06,543] INFO django.utils.autoreload Watching for file changes with StatReloader
[2026-05-08 15:47:15,257] INFO tracking_app.views user_map_auth_view: request started user_authenticated=True
[2026-05-08 15:47:15,258] INFO tracking_app.views user_map_auth_view: cache status cached_count=4 last_fetch=1778235276.007225 force_refresh=False
[2026-05-08 15:47:15,258] INFO tracking_app.views user_map_auth_view: using cached auth vessel data
[2026-05-08 15:47:15,259] INFO tracking_app.views user_map_auth_view: creating base map
[2026-05-08 15:47:15,261] INFO tracking_app.views user_map_auth_view: adding tile layers
[2026-05-08 15:47:15,291] INFO tracking_app.views user_map_auth_view: grouping vessel records into routes
[2026-05-08 15:47:15,292] INFO tracking_app.views user_map_auth_view: route grouping complete route_count=4
[2026-05-08 15:47:15,292] INFO tracking_app.views user_map_auth_view: preparing vessel JavaScript data
[2026-05-08 15:47:15,295] INFO tracking_app.views user_map_auth_view: building map JavaScript
[2026-05-08 15:47:15,308] INFO tracking_app.views user_map_auth_view: rendering template
[2026-05-08 15:47:15,371] INFO django.server "GET /user_map_auth/ HTTP/1.1" 200 30989
[2026-05-08 15:47:15,483] INFO django.server "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[2026-05-08 15:47:15,570] INFO django.server "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 2
[2026-05-08 15:47:51,823] INFO tracking_app.views logout_view: logging out user_id=3
[2026-05-08 15:47:52,187] INFO tracking_app.views logout_view: redirecting to allmaps
[2026-05-08 15:47:52,191] INFO django.server "GET /logout/ HTTP/1.1" 302 0
[2026-05-08 15:47:52,199] INFO tracking_app.views allmaps_view: request started
[2026-05-08 15:47:52,200] INFO tracking_app.views allmaps_view: loaded 0 records from session
[2026-05-08 15:47:52,201] INFO tracking_app.views allmaps_view: fetching vessel data from API url=https://shiptrackingapi-787201059405.asia-south2.run.app/VesselTracking/GetAll
[2026-05-08 15:47:53,604] INFO tracking_app.views allmaps_view: API response status_code=200
[2026-05-08 15:47:53,614] INFO tracking_app.views allmaps_view: API records loaded count=1113
[2026-05-08 15:47:53,614] INFO tracking_app.views allmaps_view: stored records in session count=1113
